#ticker, date, time, askprice
"NOV","27-DEC-2005","14:26:18.648",63.77
"STN","27-DEC-2005","14:26:18.648",67.52
"RDC","27-DEC-2005","14:26:20.005",36.79
"AT","27-DEC-2005","14:26:20.864",63.35
"FSL","27-DEC-2005","14:26:20.864",26.19
"PHM","27-DEC-2005","14:26:20.864",40.75
"UNH","27-DEC-2005","14:26:20.864",65
"BEN","27-DEC-2005","14:26:22.457",97.47
"OIH","27-DEC-2005","14:26:22.457",131.75
"PKX","27-DEC-2005","14:26:22.457",50.9
"AET","27-DEC-2005","14:26:24.798",96.52
"BBY","27-DEC-2005","14:26:24.798",45
"HRS","27-DEC-2005","14:26:24.798",44.57
"KF","27-DEC-2005","14:26:24.798",36.49
"AIG","27-DEC-2005","14:26:26.985",69.1
"FSLb","27-DEC-2005","14:26:26.985",26.29
"MMC","27-DEC-2005","14:26:26.985",33.56
"TM","27-DEC-2005","14:26:26.985",103.68
"MRO","27-DEC-2005","14:26:29.110",62.16
"PXP","27-DEC-2005","14:26:29.110",41.42
"SSD","27-DEC-2005","14:26:29.110",38.4
"DVN","27-DEC-2005","14:26:30.891",63.86
"GG","27-DEC-2005","14:26:30.891",21.4
"MON","27-DEC-2005","14:26:30.891",78.08
"RCL","27-DEC-2005","14:26:30.891",45.47
"STR","27-DEC-2005","14:26:30.891",78.8
"TSO","27-DEC-2005","14:26:31.074",62
"MGM","27-DEC-2005","14:26:32.980",36.5
"GKM","27-DEC-2005","14:26:33.893",21
"PTC","27-DEC-2005","14:26:35.138",29.3
"CQB","27-DEC-2005","14:26:35.620",21.25
"XEC","27-DEC-2005","14:26:35.620",43
"LUB","27-DEC-2005","14:26:37.236",12.7
"MRH","27-DEC-2005","14:26:37.236",19.5
"CX","27-DEC-2005","14:26:37.720",61
"TGT","27-DEC-2005","14:26:37.720",56.01
"HIX","27-DEC-2005","14:26:39.854",10.3
"KEA","27-DEC-2005","14:26:39.854",10.73
"KMI","27-DEC-2005","14:26:40.854",94.09
"AGR","27-DEC-2005","14:26:41.996",13.55
"GSH","27-DEC-2005","14:26:41.996",15.39
"BSC","27-DEC-2005","14:26:43.735",118
"KWK","27-DEC-2005","14:26:46.277",43.5
"ACV","27-DEC-2005","14:26:48.086",46
"TDK","27-DEC-2005","14:26:48.086",66.5
"VCP","27-DEC-2005","14:26:48.086",12.5
"CBI","27-DEC-2005","14:26:48.935",24.68
"NEM","27-DEC-2005","14:26:48.935",52.94
"EW","27-DEC-2005","14:26:50.580",42.53
"EXP","27-DEC-2005","14:26:50.580",122.31
"FCEb","27-DEC-2005","14:26:50.580",37.62
"PD","27-DEC-2005","14:26:50.580",149.5
"KCS","27-DEC-2005","14:26:50.879",25.3
"OSK","27-DEC-2005","14:26:52.562",44.86
"XLE","27-DEC-2005","14:26:52.562",51.25
"TBL","27-DEC-2005","14:26:53.562",32.95
"AHC","27-DEC-2005","14:26:55.421",127.5
"HCR","27-DEC-2005","14:26:55.421",40.9
"NBL","27-DEC-2005","14:26:55.421",41.7
"PDX","27-DEC-2005","14:26:55.421",91.61
"WFT","27-DEC-2005","14:26:55.421",36.5
"FNF","27-DEC-2005","14:26:57.378",36.4
"GE","27-DEC-2005","14:26:57.378",35.92
"PAY","27-DEC-2005","14:26:57.378",27.5
"BZF","27-DEC-2005","14:26:59.300",50.13
"PSS","27-DEC-2005","14:26:59.300",25.52
"TXI","27-DEC-2005","14:26:59.300",51
"COF","27-DEC-2005","14:27:01.734",88.01
"ESV","27-DEC-2005","14:27:01.734",46.1
"HP","27-DEC-2005","14:27:01.734",62.66
"NLY","27-DEC-2005","14:27:01.734",11.23
"NSR","27-DEC-2005","14:27:01.734",29.5
"SLB","27-DEC-2005","14:27:01.734",99.15
"CRI","27-DEC-2005","14:27:04.118",59.07
"HAL","27-DEC-2005","14:27:04.118",63.85
"TTM","27-DEC-2005","14:27:08.219",14.5
"VLO","27-DEC-2005","14:27:08.219",52.5
"CNX","27-DEC-2005","14:27:10.219",66.5
"FST","27-DEC-2005","14:27:10.219",46.24
"WFT","27-DEC-2005","14:27:10.219",36.6
"CBD","27-DEC-2005","14:27:12.179",32.7
"CI","27-DEC-2005","14:27:12.179",113.05
"HSY","27-DEC-2005","14:27:12.179",56
"JCI","27-DEC-2005","14:27:12.179",72.93
"FDX","27-DEC-2005","14:27:14.345",105.56
"HIF","27-DEC-2005","14:27:14.345",9.39
"STJ","27-DEC-2005","14:27:14.345",51.62
"TNH","27-DEC-2005","14:27:14.345",20.5
"NSR","27-DEC-2005","14:27:15.345",29.25
"HUM","27-DEC-2005","14:27:16.779",56.5
"NCZ","27-DEC-2005","14:27:16.779",14.39
"GMP","27-DEC-2005","14:27:18.295",27.31
"UNP","27-DEC-2005","14:27:18.704",80.35
"USG","27-DEC-2005","14:27:18.704",65.79
"EQT","27-DEC-2005","14:27:20.560",37.3
"GYI","27-DEC-2005","14:27:21.541",91.25
"NXR","27-DEC-2005","14:27:21.541",13.3
"MTH","27-DEC-2005","14:27:23.448",64.7
"LEH","27-DEC-2005","14:27:25.030",129.64
"MTD","27-DEC-2005","14:27:26.900",55.91
"BRL","27-DEC-2005","14:27:27.269",63.15
"WPI","27-DEC-2005","14:27:29.239",33.25
"BPL","27-DEC-2005","14:27:31.877",42.74
"CH","27-DEC-2005","14:27:31.877",17.65
"VPI","27-DEC-2005","14:27:33.360",54.27
"LBY","27-DEC-2005","14:27:33.704",11
"UNT","27-DEC-2005","14:27:39.814",56.18
"CME","27-DEC-2005","14:27:41.743",381
"CNF","27-DEC-2005","14:27:41.743",58.93
"HGT","27-DEC-2005","14:27:41.743",37.75
"WTM","27-DEC-2005","14:27:41.743",569
"MNT","27-DEC-2005","14:27:42.504",49
"OIS","27-DEC-2005","14:27:42.504",33.5
"KHI","27-DEC-2005","14:27:44.529",7.65
"KMP","27-DEC-2005","14:27:45.964",48.48
"PCH","27-DEC-2005","14:27:48.790",52.7
"XL","27-DEC-2005","14:27:48.790",67.98
"ASR","27-DEC-2005","14:27:50.791",33.1
"DST","27-DEC-2005","14:27:50.791",61
"GR","27-DEC-2005","14:27:52.236",41.97
"CAM","27-DEC-2005","14:27:54.978",42.36
"CNQ","27-DEC-2005","14:27:54.978",49.91
"XEC","27-DEC-2005","14:27:54.978",42.5
"FSH","27-DEC-2005","14:27:56.777",63.03
"SFY","27-DEC-2005","14:27:56.777",45
"THE","27-DEC-2005","14:27:56.777",40.5
"DEG","27-DEC-2005","14:28:00.710",66.1
"GI","27-DEC-2005","14:28:00.710",52
"LLL","27-DEC-2005","14:28:01.174",76.7
"VSH","27-DEC-2005","14:28:05.329",14.15
"GS","27-DEC-2005","14:28:07.138",129.11
"JCI","27-DEC-2005","14:28:07.138",73.93
"NVS","27-DEC-2005","14:28:07.138",52.76
"SGA","27-DEC-2005","14:28:07.138",11.05
"WTR","27-DEC-2005","14:28:07.138",27.84
"PGR","27-DEC-2005","14:28:09.674",120.27
"BAY","27-DEC-2005","14:28:11.560",42.82
"LRT","27-DEC-2005","14:28:11.560",2.9
"TDY","27-DEC-2005","14:28:11.560",30.68
"GDT","27-DEC-2005","14:28:13.966",65.5
"IFN","27-DEC-2005","14:28:13.966",44.5
"NL","27-DEC-2005","14:28:13.966",15.28
"ADP","27-DEC-2005","14:28:15.971",47
"ATU","27-DEC-2005","14:28:15.971",57.95
"SCRa","27-DEC-2005","14:28:17.742",12.49
"GEF","27-DEC-2005","14:28:20.312",67.85
"NBR","27-DEC-2005","14:28:20.312",77.7
"RHB","27-DEC-2005","14:28:20.312",21.25
"TIF","27-DEC-2005","14:28:20.312",39.16
"ERJ","27-DEC-2005","14:28:22.301",39.8
"IIF","27-DEC-2005","14:28:22.301",38
"SWN","27-DEC-2005","14:28:22.301",37.5
"PNC","27-DEC-2005","14:28:23.768",64.9
"BNI","27-DEC-2005","14:28:24.427",71.61
"RES","27-DEC-2005","14:28:28.243",27.25
"FRX","27-DEC-2005","14:28:28.926",42.2
"TKC","27-DEC-2005","14:28:30.001",15.35
"AOC","27-DEC-2005","14:28:32.713",36.7
"NKE","27-DEC-2005","14:28:34.302",88
"OXM","27-DEC-2005","14:28:35.303",55.75
"TER","27-DEC-2005","14:28:36.726",15.23
"ITT","27-DEC-2005","14:28:38.436",106.88
"LYV","27-DEC-2005","14:28:40.888",12.5
"SFF","27-DEC-2005","14:28:44.774",26.4
"THG","27-DEC-2005","14:28:46.825",40.75
"TRN","27-DEC-2005","14:28:46.825",44.62
"PAY","27-DEC-2005","14:28:47.213",27.27
"VAL","27-DEC-2005","14:28:59.200",25.25
"KYO","27-DEC-2005","14:28:59.824",72.58
"HUM","27-DEC-2005","14:29:00.815",56.17
"CY","27-DEC-2005","14:29:04.876",14.6
"ESV","27-DEC-2005","14:29:05.877",45.75
"JQC","27-DEC-2005","14:29:05.877",12.1
"ABT","27-DEC-2005","14:29:07.796",41.4
"BBH","27-DEC-2005","14:29:07.796",205.78
"CAL","27-DEC-2005","14:29:07.796",21.5
"JLG","27-DEC-2005","14:29:11.653",49
"ABX","27-DEC-2005","14:29:14.252",27.71
"KMG","27-DEC-2005","14:29:14.252",92
"OSK","27-DEC-2005","14:29:17.750",45
"XTO","27-DEC-2005","14:29:17.750",45.5
"CSX","27-DEC-2005","14:29:19.905",52.04
"FDG","27-DEC-2005","14:29:19.905",38.23
"BCM","27-DEC-2005","14:29:21.947",66.32
"IDTc","27-DEC-2005","14:29:26.253",11.85
"KSS","27-DEC-2005","14:29:27.873",49.2
"CNI","27-DEC-2005","14:29:28.474",81.08
"SNF","27-DEC-2005","14:29:32.275",12.5
"CAL","27-DEC-2005","14:29:34.850",21.3
"GLG","27-DEC-2005","14:29:36.009",27
"CHK","27-DEC-2005","14:29:38.408",31.85
"BMY","27-DEC-2005","14:29:44.389",24
"KGC","27-DEC-2005","14:29:44.389",9.2
"WSO","27-DEC-2005","14:29:44.389",61.43
"IHS","27-DEC-2005","14:29:46.109",20.5
"CME","27-DEC-2005","14:29:50.126",382
"HMC","27-DEC-2005","14:29:50.126",29.25
"PZE","27-DEC-2005","14:29:50.725",12.6
"BOT","27-DEC-2005","14:29:52.208",92.11
"AIB","27-DEC-2005","14:29:52.767",43.24
"CP","27-DEC-2005","14:29:54.340",42.06
"TMB","27-DEC-2005","14:29:54.405",39.75
"NE","27-DEC-2005","14:29:54.467",72.97
"VSL","27-DEC-2005","14:29:56.475",17.5
"GMK","27-DEC-2005","14:29:58.882",13.82
"WHQ","27-DEC-2005","14:30:00.751",34.62
"CNF","27-DEC-2005","14:30:02.501",57.93
"GLP","27-DEC-2005","14:30:02.565",19.36
"ROS","27-DEC-2005","14:30:02.571",13.76
"GLP","27-DEC-2005","14:30:02.767",0
"XKY","27-DEC-2005","14:30:02.830",26.35
"GSL","27-DEC-2005","14:30:03.106",43.77
"KOS","27-DEC-2005","14:30:03.107",25.93
"ROS","27-DEC-2005","14:30:03.182",0
"FSL","27-DEC-2005","14:30:03.313",0
"GSL","27-DEC-2005","14:30:03.313",0
"KOS","27-DEC-2005","14:30:03.313",0
"JNS","27-DEC-2005","14:30:03.315",18.86
"SPM","27-DEC-2005","14:30:03.378",3.55
"TWX","27-DEC-2005","14:30:03.378",17.7
"MCA","27-DEC-2005","14:30:03.448",14.47
"TWX","27-DEC-2005","14:30:03.448",0
"NFJ","27-DEC-2005","14:30:03.449",21.57
"FSL","27-DEC-2005","14:30:03.647",25.96
"FSLb","27-DEC-2005","14:30:03.649",26.13
"BLS","27-DEC-2005","14:30:03.720",27.57
"SLE","27-DEC-2005","14:30:03.722",0
"FSLb","27-DEC-2005","14:30:03.785",0
"JNS","27-DEC-2005","14:30:03.785",0
"MCA","27-DEC-2005","14:30:03.785",0
"SLE","27-DEC-2005","14:30:03.785",19.11
"IFS","27-DEC-2005","14:30:03.914",12.43
"IFS","27-DEC-2005","14:30:03.914",12.43
"NFJ","27-DEC-2005","14:30:04.041",0
"STU","27-DEC-2005","14:30:04.049",208.4
"BLS","27-DEC-2005","14:30:04.110",0
"IFS","27-DEC-2005","14:30:04.110",0
"CMZ","27-DEC-2005","14:30:04.113",14.9
"NFB","27-DEC-2005","14:30:04.240",27.55
"OFC","27-DEC-2005","14:30:04.243",35.89
"BK","27-DEC-2005","14:30:04.372",32.53
"NFB","27-DEC-2005","14:30:04.372",0
"NLY","27-DEC-2005","14:30:04.372",0
"OFC","27-DEC-2005","14:30:04.372",0
"RIO","27-DEC-2005","14:30:04.372",0
"STU","27-DEC-2005","14:30:04.372",0
"AXA","27-DEC-2005","14:30:04.374",0
"CMZ","27-DEC-2005","14:30:04.377",0
"XKY","27-DEC-2005","14:30:04.377",26.25
"RIO","27-DEC-2005","14:30:04.437",41.07
"RIO","27-DEC-2005","14:30:04.437",41.07
"TWX","27-DEC-2005","14:30:04.437",17.7
"FE","27-DEC-2005","14:30:04.565",50.1
"EVG","27-DEC-2005","14:30:04.571",16.42
"FBP","27-DEC-2005","14:30:04.572",12.73
"AXA","27-DEC-2005","14:30:04.634",33.19
"EOP","27-DEC-2005","14:30:04.634",30.25
"CBC","27-DEC-2005","14:30:04.639",38.11
"TWX","27-DEC-2005","14:30:04.702",17.7
"MT","27-DEC-2005","14:30:04.703",26.3
"NLY","27-DEC-2005","14:30:04.703",11.2
"OFG","27-DEC-2005","14:30:04.703",13.24
"ROS","27-DEC-2005","14:30:04.703",13.81
"EVG","27-DEC-2005","14:30:04.893",0
"OFG","27-DEC-2005","14:30:04.893",13.24
"BK","27-DEC-2005","14:30:04.894",0
"BR","27-DEC-2005","14:30:04.894",0
"CBC","27-DEC-2005","14:30:04.894",0
"EOP","27-DEC-2005","14:30:04.894",0
"FBP","27-DEC-2005","14:30:04.894",0
"MT","27-DEC-2005","14:30:04.959",0
"TWX","27-DEC-2005","14:30:04.959",0
"BK","27-DEC-2005","14:30:04.960",32.53
"OFG","27-DEC-2005","14:30:04.960",0
"ZF","27-DEC-2005","14:30:04.961",0
"ZNT","27-DEC-2005","14:30:04.961",0
"SGR","27-DEC-2005","14:30:04.963",0
"VVR","27-DEC-2005","14:30:04.963",0
"VVR","27-DEC-2005","14:30:04.963",7.72
"ZF","27-DEC-2005","14:30:04.963",5.28
"SAM","27-DEC-2005","14:30:04.965",25.56
"SGR","27-DEC-2005","14:30:04.965",31.01
"TAP","27-DEC-2005","14:30:04.965",66.35
"ZNT","27-DEC-2005","14:30:04.965",46.8
"TWX","27-DEC-2005","14:30:05.024",17.7
"KEF","27-DEC-2005","14:30:05.094",9.2
"FSL","27-DEC-2005","14:30:05.164",25.95
"SLE","27-DEC-2005","14:30:05.166",0
"MWG","27-DEC-2005","14:30:05.228",24.21
"MU","27-DEC-2005","14:30:05.231",13.71
"MZ","27-DEC-2005","14:30:05.231",1.36
"NFJ","27-DEC-2005","14:30:05.231",21.57
"NZT","27-DEC-2005","14:30:05.231",31.57
"BGG","27-DEC-2005","14:30:05.239",39.81
"AGN","27-DEC-2005","14:30:05.300",109.76
"ASA","27-DEC-2005","14:30:05.300",53.21
"AYI","27-DEC-2005","14:30:05.300",32.49
"BGG","27-DEC-2005","14:30:05.300",39.81
"KEF","27-DEC-2005","14:30:05.424",0
"BGG","27-DEC-2005","14:30:05.426",0
"COH","27-DEC-2005","14:30:05.426",0
"FSL","27-DEC-2005","14:30:05.426",0
"UAG","27-DEC-2005","14:30:05.426",0
"MU","27-DEC-2005","14:30:05.428",0
"MZ","27-DEC-2005","14:30:05.428",0
"UNH","27-DEC-2005","14:30:05.491",0
"NZT","27-DEC-2005","14:30:05.492",0
"SAM","27-DEC-2005","14:30:05.492",0
"VLI","27-DEC-2005","14:30:05.492",0
"TAP","27-DEC-2005","14:30:05.494",0
"UAG","27-DEC-2005","14:30:05.558",38.28
"UNH","27-DEC-2005","14:30:05.558",64.66
"VLI","27-DEC-2005","14:30:05.558",51.76
"HD","27-DEC-2005","14:30:05.621",41.72
"SLE","27-DEC-2005","14:30:05.621",19.08
"FSLb","27-DEC-2005","14:30:05.622",26.11
"FSLb","27-DEC-2005","14:30:05.623",26.11
"BK","27-DEC-2005","14:30:05.684",32.53
"BK","27-DEC-2005","14:30:05.684",32.53
"BLS","27-DEC-2005","14:30:05.684",27.6
